  2.0000e+12   5.3882e-15 
  4.0000e+12   4.6517e-15 
  6.0000e+12   1.1279e-14 
  8.0000e+12   9.3707e-15 
  1.0000e+13   8.8288e-15 
  1.2000e+13   3.9943e-14 
  1.4000e+13   1.8363e-14 
  1.6000e+13   1.5928e-14 
  1.8000e+13   1.5198e-14 
  2.0000e+13   1.5067e-14 
  2.2000e+13   7.3172e-14 
  2.4000e+13   3.4075e-14 
  2.6000e+13   2.8157e-14 
  2.8000e+13   2.6723e-14 
  3.0000e+13   2.6221e-14 
  3.2000e+13   2.5921e-14 
  3.4000e+13   3.7462e-14 
  3.6000e+13   4.9661e-14 
  3.8000e+13   3.9591e-14 
  4.0000e+13   3.5389e-14 
