  2.0000e+12   2.2593e-14 
  4.0000e+12   1.8354e-14 
  6.0000e+12   1.6687e-14 
  8.0000e+12   1.5805e-14 
  1.0000e+13   1.5284e-14 
  1.2000e+13   1.4966e-14 
  1.4000e+13   1.4776e-14 
  1.6000e+13   1.4783e-14 
  1.8000e+13   5.0926e-14 
  2.0000e+13   3.8468e-14 
  2.2000e+13   3.3999e-14 
  2.4000e+13   3.1782e-14 
  2.6000e+13   3.0547e-14 
  2.8000e+13   2.9846e-14 
  3.0000e+13   2.9476e-14 
  3.2000e+13   2.9332e-14 
  3.4000e+13   2.9356e-14 
  3.6000e+13   2.9508e-14 
  3.8000e+13   2.9761e-14 
  4.0000e+13   3.0094e-14 
