  2.00000000e+12   3.99999968e+00   3.99999960e+00   3.04565715e+00   3.04565705e+00 
  4.00000000e+12   3.99999944e+00   3.99999935e+00   3.00691615e+00   3.00691622e+00 
  6.00000000e+12   5.99999797e+00   3.99999911e+00   2.98168291e+00   2.98168303e+00 
  8.00000000e+12   5.99999775e+00   3.99999887e+00   2.96345774e+00   2.96345788e+00 
  1.00000000e+13   5.99999735e+00   3.99999864e+00   2.94793802e+00   2.94793816e+00 
  1.20000000e+13   7.99998560e+00   3.99999840e+00   2.93174293e+00   2.93174306e+00 
  1.40000000e+13   7.99999228e+00   3.99999816e+00   2.91182396e+00   2.91182407e+00 
  1.60000000e+13   7.99999234e+00   3.99999796e+00   2.88521118e+00   2.88520421e+00 
  1.80000000e+13   7.99999178e+00   5.99999183e+00   4.28494049e+00   4.28494050e+00 
  2.00000000e+13   7.99999095e+00   5.99999314e+00   4.01845293e+00   4.01845278e+00 
  2.20000000e+13   9.99995163e+00   5.99999333e+00   3.80564579e+00   3.80564515e+00 
  2.40000000e+13   1.19999754e+01   5.99999320e+00   3.64249427e+00   3.64249595e+00 
  2.60000000e+13   1.19999780e+01   5.99999292e+00   3.56585618e+00   3.56585626e+00 
  2.80000000e+13   1.19999775e+01   5.99999255e+00   3.41844051e+00   3.41844056e+00 
  3.00000000e+13   1.19999764e+01   5.99999212e+00   3.26164246e+00   3.26164268e+00 
  3.20000000e+13   1.19999751e+01   5.99999163e+00   3.12663562e+00   3.12663574e+00 
  3.40000000e+13   1.19999617e+01   5.99999110e+00   3.34211682e+00   3.34211632e+00 
  3.60000000e+13   1.49999463e+01   5.99999053e+00   3.50904358e+00   3.50904359e+00 
  3.80000000e+13   1.49999548e+01   5.99998992e+00   3.66590871e+00   3.66590869e+00 
  4.00000000e+13   1.49999575e+01   5.99998927e+00   3.92919036e+00   3.92919017e+00 
